epoch,F_measure,MAE
0,0.629,0.105
2,0.667,0.091
4,0.71,0.077
6,0.71,0.079
8,0.717,0.075
10,0.715,0.078
12,0.697,0.082
14,0.711,0.078
16,0.712,0.078
18,0.712,0.079
20,0.721,0.076
22,0.719,0.076
24,0.719,0.076
26,0.721,0.076
28,0.723,0.075
30,0.716,0.077
32,0.724,0.075
34,0.722,0.075
36,0.724,0.075
38,0.724,0.075
40,0.73,0.074
42,0.723,0.076
44,0.721,0.076
46,0.724,0.075
48,0.723,0.075
50,0.725,0.075
52,0.727,0.074
54,0.729,0.074
56,0.73,0.074
58,0.731,0.073
60,0.724,0.075
62,0.725,0.075
64,0.73,0.074
66,0.72,0.076
68,0.726,0.074
70,0.718,0.076
72,0.724,0.075
74,0.718,0.076
76,0.734,0.072
78,0.733,0.073
80,0.73,0.074
82,0.733,0.073
84,0.731,0.074
